Date,Name,Signal,Prediction,Duration,Cumulative Value
2023-07-05,TNL,11.316944000434972,0.86,year,9.732571840374076
2023-07-05,DIS,11.979490511400138,0.88,year,10.541951650032122
2023-07-05,SE,202.25054554957455,0.86,year,173.9354691726341
2023-07-05,FOXF,204.0981701405808,0.85,year,173.48344461949367
2023-07-05,APG,207.2253557789215,0.85,year,176.14155241208329
2023-07-05,SAIA,207.64695785549395,0.85,year,176.49991417716984
2023-07-05,ALGT,218.2611605822454,0.86,year,187.70459810073103
2023-07-05,TREX,1.422060798262324,0.71,3 months,1.00966316676625
2023-07-05,DOCU,250.13442651344025,0.85,year,212.6142625364242
2023-07-05,COIN,448.96520150792355,0.84,year,377.13076926665576
2023-07-05,CLSK,495.1079625887596,0.84,year,415.89068857455806
2023-07-05,UPST,600.1490643083137,0.9,year,540.1341578774823
2023-07-05,ZIM,-0.42949379529353976,0.74,3 months,-0.3178254085172194
2023-07-05,SSTK,-0.34793034020908226,0.76,3 months,-0.26442705855890253
2023-07-05,VFC,-0.19416050643580482,0.71,3 months,-0.13785395956942142
2023-07-05,CNXC,-0.1481851444126024,0.77,3 months,-0.11410256119770384
2023-07-05,SIG,-0.041238740599744056,0.74,3 months,-0.0305166680438106
2023-07-05,GPS,-0.025046068530303663,0.75,3 months,-0.018784551397727747
2023-07-05,FPE,-0.01640245869295283,0.72,3 months,-0.011809770258926036
2023-07-05,PTON,0.012803684139895383,0.73,3 months,0.00934668942212363
2023-07-05,DIS,0.03158461359278598,0.78,3 months,0.024635998602373064
2023-07-05,ENTG,253.98850663006678,0.86,year,218.43011570185743
2023-07-05,HBI,-11.74308196539057,0.86,year,-10.09905049023589
2023-07-05,ISTB,-0.009831281545286383,0.44,14 days,-0.004325763879926009
2023-07-05,SPWR,0.037473849238174074,0.44,14 days,0.016488493664796593
2023-07-05,SHOP,0.5801875667512529,0.34,7 days,0.19726377269542603
2023-07-05,HBI,0.6009196982831503,0.33,7 days,0.1983035004334396
